STATE,DISTRICT,rape_cases,kidnapping_cases,assault_cases,domestic_cases,dowry_cases,trafficking_cases,other_ipc,total_crime_score,years_present,rape_avg,kidnapping_avg,assault_avg,domestic_avg,dowry_avg,trafficking_avg,other_ipc_avg,total_crime_avg,risk_label,risk_encoded
A & N ISLANDS,A and N ISLANDS,9,33,21,18,1,0,337,419,1,9.0,33.0,21.0,18.0,1.0,0.0,337.0,419.0,Low,0
A & N ISLANDS,ANDAMAN,276,207,168,97,3,0,3638,4389,10,27.6,20.7,16.8,9.7,0.3,0.0,363.8,438.9,High,1
A & N ISLANDS,CAR,0,3,1,0,0,0,8,12,1,0.0,3.0,1.0,0.0,0.0,0.0,8.0,12.0,Low,0
A & N ISLANDS,NICOBAR,6,2,8,1,0,0,117,134,10,0.6,0.2,0.8,0.1,0.0,0.0,11.7,13.4,Low,0
A & N ISLANDS,NORTH,12,0,2,2,0,0,70,86,1,12.0,0.0,2.0,2.0,0.0,0.0,70.0,86.0,Low,0
A & N ISLANDS,SOUTH,24,20,14,3,2,0,273,336,1,24.0,20.0,14.0,3.0,2.0,0.0,273.0,336.0,Low,0
A & N ISLANDS,TOTAL,327,265,214,121,6,0,4443,5376,12,27.25,22.083333333333332,17.833333333333332,10.083333333333334,0.5,0.0,370.25,448.0,High,1
A&N Islands,CAR,3,0,2,0,0,0,12,17,1,3.0,0.0,2.0,0.0,0.0,0.0,12.0,17.0,Low,0
A&N Islands,NORTH,15,17,10,5,0,0,91,138,1,15.0,17.0,10.0,5.0,0.0,0.0,91.0,138.0,Low,0
A&N Islands,Nicobar,6,0,0,0,0,0,12,18,1,6.0,0.0,0.0,0.0,0.0,0.0,12.0,18.0,Low,0
A&N Islands,North & Middle Andaman,33,12,29,4,0,0,38,116,1,33.0,12.0,29.0,4.0,0.0,0.0,38.0,116.0,Low,0
A&N Islands,SOUTH,63,23,33,4,1,0,220,344,1,63.0,23.0,33.0,4.0,1.0,0.0,220.0,344.0,Low,0
