STATE,DISTRICT,rape_avg,kidnapping_avg,assault_avg,domestic_avg,dowry_avg,trafficking_avg,other_ipc_avg,total_crime_avg,risk_label,risk_encoded
A & N ISLANDS,ANDAMAN,27.6,20.7,16.8,9.7,0.3,0.0,363.8,438.9,High,1
A & N ISLANDS,ANDAMAN AND NICOBAR,9.0,33.0,21.0,18.0,1.0,0.0,337.0,419.0,Low,0
A & N ISLANDS,CAR,0.0,3.0,1.0,0.0,0.0,0.0,8.0,12.0,Low,0
A & N ISLANDS,NICOBAR,0.6,0.2,0.8,0.1,0.0,0.0,11.7,13.4,Low,0
A & N ISLANDS,NORTH,12.0,0.0,2.0,2.0,0.0,0.0,70.0,86.0,Low,0
A & N ISLANDS,SOUTH,24.0,20.0,14.0,3.0,2.0,0.0,273.0,336.0,Low,0
A&N ISLANDS,CAR,3.0,0.0,2.0,0.0,0.0,0.0,12.0,17.0,Low,0
A&N ISLANDS,NICOBAR,6.0,0.0,0.0,0.0,0.0,0.0,12.0,18.0,Low,0
A&N ISLANDS,NORTH,15.0,17.0,10.0,5.0,0.0,0.0,91.0,138.0,Low,0
A&N ISLANDS,NORTH & MIDDLE ANDAMAN,33.0,12.0,29.0,4.0,0.0,0.0,38.0,116.0,Low,0
A&N ISLANDS,SOUTH,63.0,23.0,33.0,4.0,1.0,0.0,220.0,344.0,Low,0
A&N ISLANDS,SOUTH ANDAMAN,57.0,24.0,58.0,10.0,3.0,0.0,91.0,243.0,Low,0
ANDHRA PRADESH,ADILABAD,175.5,175.08333333333331,172.875,403.9166666666666,13.833333333333332,0.0,1552.4583333333337,2493.6666666666665,High,1
ANDHRA PRADESH,ANANTAPUR,85.5,234.33333333333331,467.9444444444445,154.36111111111111,20.83333333333333,0.0,2251.9166666666665,3214.888888888889,High,1
ANDHRA PRADESH,CHITTOOR,93.66666666666669,132.13888888888889,199.3611111111111,328.8611111111111,17.277777777777775,0.0,2284.638888888889,3055.944444444444,High,1
ANDHRA PRADESH,CUDDAPAH,73.16666666666667,136.11111111111111,300.77777777777777,149.05555555555554,12.388888888888888,0.0,2059.25,2730.75,High,1
ANDHRA PRADESH,CYBERABAD,303.15,439.15,243.6,1209.6,43.35,0.0,2754.55,4993.4,High,1
ANDHRA PRADESH,EAST GODAVARI,206.58333333333331,128.83333333333334,537.3333333333334,452.52777777777777,13.055555555555555,0.0,2127.472222222222,3465.805555555555,High,1
ANDHRA PRADESH,GUNTUR,116.25,128.43055555555554,390.2916666666667,443.0,13.305555555555555,0.0,1717.5555555555557,2808.833333333333,High,1
